id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,94201.0,0.34034,1869972876423,1,17721112748,19857096.0,108786.0,67.81,2025-04-28T05:29:48.064Z
ethereum,eth,Ethereum,1794.53,-0.20654,216382444581,2,9726865538,120725290.8568705,4878.26,0.432979,2025-04-28T05:29:48.264Z
tether,usdt,Tether,1.0,0.00335,147279706535,3,33375136707,147243667464.5653,1.32,0.572521,2025-04-28T05:29:49.767Z
ripple,xrp,XRP,2.28,5.13753,133360935927,4,4107847093,58444738299.0,3.4,0.00268621,2025-04-28T05:29:47.635Z
binancecoin,bnb,BNB,604.36,0.83356,88163376865,5,534420105,145887575.79,788.84,0.0398177,2025-04-28T05:29:48.383Z
solana,sol,Solana,149.36,2.32123,77260829720,6,2502987251,517548854.9853405,293.31,0.500801,2025-04-28T05:29:47.535Z
usd-coin,usdc,USDC,0.999962,-0.00356,62077404778,7,6504182475,62079314926.18856,1.17,0.877647,2025-04-28T05:29:46.092Z
dogecoin,doge,Dogecoin,0.179588,1.35338,26751784283,8,1154753110,149029586383.7052,0.731578,8.69e-05,2025-04-28T05:29:46.935Z
cardano,ada,Cardano,0.712683,2.47499,25669471463,9,637641896,36025982918.44367,3.09,0.01925275,2025-04-28T05:29:47.354Z
tron,trx,TRON,0.245517,-2.4798,23309244679,10,567490087,94937281655.63779,0.431288,0.00180434,2025-04-28T05:29:48.007Z
